,Name,Nationality,Score,Topic,compound,neg,neu,pos,business_trip,leisure,group,couple,family,friends,solo,"Nationality_Abkhazia, ​ Georgia",Nationality_Albania,Nationality_Antigua & Barbuda,Nationality_Argentina,Nationality_Armenia,Nationality_Aruba,Nationality_Australia,Nationality_Austria,Nationality_Bahamas,Nationality_Bahrain,Nationality_Bangladesh,Nationality_Belarus,Nationality_Belgium,Nationality_Belize,Nationality_Bermuda,Nationality_Bolivia,Nationality_Bosnia and Herzegovina,Nationality_Brazil,Nationality_Brunei,Nationality_Bulgaria,Nationality_Burkina Faso,Nationality_Canada,Nationality_Cayman Islands,Nationality_Chile,Nationality_China,Nationality_Colombia,Nationality_Cook Islands,Nationality_Costa Rica,Nationality_Croatia,Nationality_Cyprus,Nationality_Czech Republic,Nationality_Denmark,Nationality_Dominican Republic,Nationality_Ecuador,Nationality_Egypt,Nationality_El Salvador,Nationality_Estonia,Nationality_Fiji,Nationality_Finland,Nationality_France,Nationality_Georgia,Nationality_Germany,Nationality_Gibraltar,Nationality_Greece,Nationality_Guam,Nationality_Guernsey,Nationality_Hong Kong,Nationality_Hungary,Nationality_Iceland,Nationality_India,Nationality_Indonesia,Nationality_Iran,Nationality_Iraq,Nationality_Ireland,Nationality_Isle of Man,Nationality_Israel,Nationality_Italy,Nationality_Jamaica,Nationality_Japan,Nationality_Jersey,Nationality_Jordan,Nationality_Kazakhstan,Nationality_Kenya,Nationality_Kuwait,Nationality_Latvia,Nationality_Lebanon,Nationality_Lithuania,Nationality_Luxembourg,Nationality_Macau,Nationality_Macedonia,Nationality_Malaysia,Nationality_Maldives,Nationality_Malta,Nationality_Mexico,Nationality_Montenegro,Nationality_Nepal,Nationality_Netherlands,Nationality_New Caledonia,Nationality_New Zealand,Nationality_Nigeria,Nationality_Norway,Nationality_Oman,Nationality_Pakistan,Nationality_Panama,Nationality_Papua New Guinea,Nationality_Paraguay,Nationality_Philippines,Nationality_Poland,Nationality_Portugal,Nationality_Puerto Rico,Nationality_Qatar,Nationality_Romania,Nationality_Russia,Nationality_Saudi Arabia,Nationality_Serbia,Nationality_Singapore,Nationality_Slovakia,Nationality_Slovenia,Nationality_South Africa,Nationality_South Korea,Nationality_Spain,Nationality_Sri Lanka,Nationality_St. Maarten,Nationality_Suriname,Nationality_Sweden,Nationality_Switzerland,Nationality_Taiwan,Nationality_Tanzania,Nationality_Thailand,Nationality_Trinidad and Tobago,Nationality_Turkey,Nationality_Turks & Caicos Islands,Nationality_Uganda,Nationality_Ukraine,Nationality_United Arab Emirates,Nationality_United Kingdom,Nationality_United States Minor Outlying Islands,Nationality_United States of America,Nationality_Uruguay,Nationality_Venezuela,Nationality_Vietnam,Nationality_Yemen,Date_new,Review_times
20,Tina,United States of America,9.2,Great location for the show we wanted to see.,0.6249,0.0,0.661,0.339,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"March 27, 2018",32
21,Kamal,United Arab Emirates,10.0,Th check in and out automation is really good and save a lot...,0.7688,0.0,0.6,0.4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"March 25, 2018",6
22,Lateifah,United Kingdom,7.5,"Loved the location, loved the cleanliness of the room and...",0.8316,0.0,0.506,0.494,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"March 24, 2018",4
23,Natasha,Russia,6.7,Meh,-0.0772,1.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"March 24, 2018",49
24,Nicholas,United Kingdom,7.9,Disappointing,-0.4939,1.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"March 22, 2018",6
25,Teri,United States of America,7.5,Will not stay here again. Front desk refused to give even a half hour late checkout,-0.296,0.136,0.864,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"March 21, 2018",13
26,Rick,United States of America,9.2,Great visit!!,0.6892,0.0,0.176,0.824,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"March 20, 2018",1
27,Darlene,United States of America,8.3,"Very nice casino and the staff was excellent, but try not to eat there!!!",0.6454,0.0,0.695,0.305,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"March 19, 2018",2
28,Anonymous,New Zealand,7.1,Fine,0.2023,0.0,0.0,1.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"March 19, 2018",1
29,Lora,United States of America,9.2,I like Caesars and would stay again.  The amenities were useful and staff was kind.,0.8316,0.0,0.556,0.444,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"March 18, 2018",1
